"Expanded Program for Immunization","_id",,
"Expanded Program for Immunization","_rev",,
"Expanded Program for Immunization","question",,
"Expanded Program for Immunization","createdAt",,
"Expanded Program for Immunization","lastModifiedAt",,
"Expanded Program for Immunization","user",,
"Expanded Program for Immunization","DateofRegistrationYYYYMMDD","date_registered","m_patient_ccdev"
"Expanded Program for Immunization","DateofBirth","patient_dob","m_patient"
"Expanded Program for Immunization","ChildFirstName","patient_firstname","m_patient"
"Expanded Program for Immunization","ChildMiddleName","patient_middle","m_patient"
"Expanded Program for Immunization","ChildLastName","patient_lastname","m_patient"
"Expanded Program for Immunization","Sex","patient_gender","m_patient"
"Expanded Program for Immunization","CompleteNameofMother","patient_mother","m_patient"
"Expanded Program for Immunization","CompleteNameofFather","father_name","m_patient_ccdev"
"Expanded Program for Immunization","HouseNumberStreetNameSitioPurok","address","m_family_address"
"Expanded Program for Immunization","Barangay","barangay_id","m_family_address"
"Expanded Program for Immunization","BirthWeight","birth_weight","m_patient_ccdev"
"Expanded Program for Immunization","LocationofDelivery","delivery_location","m_patient_ccdev"
"Expanded Program for Immunization","DateReferredforNewbornScreening","ccdev_id","m_consult_ccdev_services"
"Expanded Program for Immunization","DateGivenVitaminA","ccdev_id","m_consult_ccdev_services"
"Expanded Program for Immunization","IronIntakeDateStarted",,
"Expanded Program for Immunization","IronIntakeDateCompleted",,
"Expanded Program for Immunization","BCG","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","DPT1","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","DPT2","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","DPT3","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","OPV1","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","OPV2","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","OPV3","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","HepaatBirth","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","HEPAB1","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","HEPAB2","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","HEPAB3","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","Rotavirus","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","Rotavirus2","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","Pentavalent1","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","Pentavalent2","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","Pentavalent3","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","MEASLES","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","MMR","patient_id","m_consult_ccdev_vaccine"
"Expanded Program for Immunization","BreastfeedingMonth1","bfed_month1","m_patient_ccdev"
"Expanded Program for Immunization","BreastfeedingMonth2","bfed_month2","m_patient_ccdev"
"Expanded Program for Immunization","BreastfeedingMonth3","bfed_month3","m_patient_ccdev"
"Expanded Program for Immunization","BreastfeedingMonth4","bfed_month4","m_patient_ccdev"
"Expanded Program for Immunization","BreastfeedingMonth5","bfed_month5","m_patient_ccdev"
"Expanded Program for Immunization","Dateof6thMonthBreastfeedingifapplicable","bfed_month6_date","m_patient_ccdev"
"Expanded Program for Immunization","Remarks","ccdev_remarks","m_patient_ccdev"
"Expanded Program for Immunization","Tags",,
